file,category,component,maturity,strengths,issues,total_lines,code_lines,comment_lines,comment_ratio,pragma_once,include_guard,nonpref_macros,macro_defines,using_namespace,todo_count,doc_name_matches,dedicated_test_cpp,direct_test_includes,direct_bench_includes,c++17_exit,c++20_exit,c++20_first,c++20_errors,c++17_errors,c++17_first,risk_category,recommended_fix,priority
fat_p/DiagnosticLogger_Core.h,library_header,DiagnosticLogger_Core,Needs cleanup,Has #pragma once. | Has a dedicated test_*.cpp.,"Defines 25 non-FATP_ macros (leaks macros): LIKELY, UNLIKELY, LIKELY, UNLIKELY, FORCE_INLINE, FORCE_INLINE, FORCE_INLINE, NO_INLINE.... | No doc file name matches this component (docs may exist elsewhere). | C++20 include-all test reports missing LogLevel/SourceLocation types (may be cascade after earlier error).",990,608,278,0.314,True,True,25,26,False,0,0.0,1.0,2.0,0.0,,,,,,,API risk,"Make the header self-contained: include/define LogLevel and SourceLocation (or include the correct header), and prefix or gate all logging macros (LOG_INFO, LOG_DEBUG, etc.) to avoid macro pollution.",P1
fat_p/FatPBenchmarkRunner.h,library_header,FatPBenchmarkRunner,Needs cleanup,Has #pragma once. | Has a dedicated test_*.cpp.,"Defines 2 non-FATP_ macros (leaks macros): NOMINMAX, WIN32_LEAN_AND_MEAN. | Contains `using namespace ...;` (namespace pollution). | No doc file name matches this component (docs may exist elsewhere).",2465,1516,633,0.295,True,True,2,4,True,0,0.0,1.0,2.0,1.0,,,,,,,API risk,"Ensure benchmark harness is the single source of truth; avoid duplicate headers (e.g., FatPBenchmarkUtils) and make configuration via FATP_BENCH_* consistent across benchmarks.",P1
fat_p/FatPJson.h,library_header,FatPJson,Needs cleanup,Has #pragma once. | Docs exist (name match count=2). | Has a dedicated test_*.cpp.,Defines 1 non-FATP_ macros (leaks macros): USING_FATP_JSON. | C++20 build fails due to StringPool generic-unordered-lookup equality predicate constraints (via StringPool.h).,1414,872,408,0.319,True,False,1,3,False,0,2.0,1.0,2.0,0.0,,,,,,,API risk,Ensure JSON API headers are self-contained and do not rely on JsonLite macro state; unify macro namespace and provide opt-in short macros only.,P1
fat_p/FatPTest.h,library_header,FatPTest,Needs cleanup,Has #pragma once. | Docs exist (name match count=2). | Has a dedicated test_*.cpp.,"Defines 34 non-FATP_ macros (leaks macros): WIN32_LEAN_AND_MEAN, SIMPLE_ASSERT, ASSERT_WITH_HANDLER, ASSERT_EQ, ASSERT_NE, ASSERT_LT, ASSERT_LE, ASSERT_GT....",3817,2577,866,0.252,True,True,34,36,False,0,2.0,1.0,86.0,1.0,,,,,,,API risk,"Treat test framework as internal: move under a testing/ namespace or ensure it is not installed as a public header. Prefix test macros (ASSERT_*, TEST_CASE, etc.) or provide an opt-in for short names; avoid leaking macros into user builds.",P1
fat_p/JsonLite.h,library_header,JsonLite,Prototype/Experimental,Has #pragma once. | Docs exist (name match count=4). | Has a dedicated test_*.cpp.,"Defines 67 non-FATP_ macros (leaks macros): JSON_LOCUS, json_enforce, USING_JSON_LITE, JSONLITE_CONVENIENCE_USINGS, CPP_JSON_EXPAND, CPP_JSON_ARG_COUNT_IMPL, CPP_JSON_ARG_COUNT, CPP_JSON_CAT.... | Contains `using namespace ...;` (namespace pollution).",4437,2430,1690,0.41,True,False,67,67,True,1,4.0,1.0,3.0,0.0,,,,,,,API risk,"Remove any 'using namespace' from the header; qualify names. Replace unprefixed JSON/CBOR/MP/etc macros with FATP_* prefixed macros, or hide short macro names behind an opt-in define. Ensure the header is include-order safe (include-all test).",P1
fat_p/Reflection.h,library_header,Reflection,Needs cleanup,Has #pragma once. | Has a dedicated test_*.cpp.,"Defines 51 non-FATP_ macros (leaks macros): EXPAND, EXPAND1, EXPAND2, EXPAND3, EXPAND, EXPAND1, EXPAND2, EXPAND3.... | No doc file name matches this component (docs may exist elsewhere).",611,377,108,0.223,True,False,51,54,False,0,0.0,1.0,2.0,0.0,,,,,,,API risk,Reduce macro footprint: prefix macros or gate them behind opt-in; consider constexpr/template-based reflection helpers where possible. Add dedicated tests and documentation.,P1
fat_p/enforce.h,library_header,enforce,Needs cleanup,Has #pragma once. | Docs exist (name match count=2).,"Defines 87 non-FATP_ macros (leaks macros): enforce, enforce, always_enforce, enforce_warn, noexcept_enforce, abort_enforce, enforce_expected, always_enforce_expected.... | No dedicated test_*.cpp (likely tested indirectly or grouped).",788,572,114,0.166,True,True,87,90,False,0,2.0,0.0,2.0,0.0,,,,,,,API risk,Macro hygiene pass: remove/rename non-prefixed contract macros; provide FATP_ENFORCE-style names and keep legacy aliases behind an opt-in compatibility switch. Prefer inline functions/templates for type safety and avoid macro interactions with C++20 keywords.,P1
fat_p/enforce_contextual.h,library_header,enforce_contextual,Needs cleanup,Has #pragma once.,"Defines 65 non-FATP_ macros (leaks macros): contextual_enforce, contextual_enforce_invalid_arg, contextual_enforce_1, contextual_enforce_2, contextual_enforce_3, contextual_enforce_4, contextual_enforce_5, contextual_abort.... | No doc file name matches this component (docs may exist elsewhere). | No dedicated test_*.cpp (likely tested indirectly or grouped).",397,298,45,0.131,True,True,65,72,False,0,0.0,0.0,2.0,0.0,,,,,,,API risk,Prefix or gate all non-FATP_ macros (opt-in short names only); avoid macro leakage in public headers. Add a dedicated unit test TU for this header and ensure it runs under both C++17 and C++20 where applicable.,P1
benchmarks/benchmark_EqualityComparisonsAny.cpp,benchmark_cpp,benchmark_EqualityComparisonsAny,Needs cleanup,Uses FatPBenchmarkUtils (shared helpers). | Uses FATP_BENCH_* env vars (count=8).,,900,725,59,0.075,False,True,1,2,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,"Align benchmark with benchmark style guide: deterministic seeding, stable CPU wait, randomized order, clear outputs.",P2
benchmarks/benchmark_FatPHashMap.cpp,benchmark_cpp,benchmark_FatPHashMap,Production-ready,Uses FatPBenchmarkUtils (shared helpers). | Optional competitor includes gated by __has_include (missing locally: 8).,No FATP_BENCH_* env vars found (less configurable). | Verified executed in benchmarks.txt on 2025-12-28 (Windows). Suite reports round-robin architecture + CPU stabilization + competitor libs (absl/boost/llvm).,3337,2609,268,0.093,False,True,12,14,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
benchmarks/benchmark_FlatMapSet.cpp,benchmark_cpp,benchmark_FlatMapSet,Production-ready,Uses FatPBenchmarkUtils (shared helpers). | Optional competitor includes gated by __has_include (missing locally: 5).,"No FATP_BENCH_* env vars found (less configurable). | Verified executed in benchmarks.txt on 2025-12-28 (Windows). Uses BenchmarkScope; randomized per-run order; compares vs std::map/std::set, boost::flat_{map,set}, absl::btree_{map,set}.",2668,2078,209,0.091,False,True,12,13,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
benchmarks/benchmark_FlatMapSetXCXX.cpp,benchmark_cpp,benchmark_FlatMapSetXCXX,Production-ready,Uses FatPBenchmarkUtils (shared helpers). | Optional competitor includes gated by __has_include (missing locally: 5).,"No FATP_BENCH_* env vars found (less configurable). | Verified executed in benchmarks.txt on 2025-12-28 (Windows). Uses BenchmarkScope; randomized per-run order; compares vs std::map/std::set, boost::flat_{map,set}, absl::btree_{map,set}.",2443,1896,202,0.096,False,True,12,13,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
benchmarks/benchmark_FloatingPointComparison.cpp,benchmark_cpp,benchmark_FloatingPointComparison,Production-ready,Uses FATP_BENCH_* env vars (count=3).,Verified executed in benchmarks.txt on 2025-12-28 (Windows). Runs under BenchmarkScope; reports warmup/measured/seed; compares policy overhead vs manual baseline.,587,446,54,0.108,False,False,0,2,False,0,,,,,0.0,0.0,,,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
benchmarks/benchmark_SlotMap.cpp,benchmark_cpp,benchmark_SlotMap,Production-ready,Uses FatPBenchmarkUtils (shared helpers). | Optional competitor includes gated by __has_include (missing locally: 7).,No FATP_BENCH_* env vars found (less configurable). | Verified executed in benchmarks.txt on 2025-12-28 (Windows). Runs under BenchmarkScope; library detection + baselines; reports mixed workload scaling across N.,2503,1993,186,0.085,False,True,13,14,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
benchmarks/benchmark_SmallVector.cpp,benchmark_cpp,benchmark_SmallVector,Production-ready,Uses FatPBenchmarkUtils (shared helpers). | Optional competitor includes gated by __has_include (missing locally: 2).,No FATP_BENCH_* env vars found (less configurable). | Verified executed in benchmarks.txt on 2025-12-28 (Windows). Reports allocation counts + insert/erase microbenchmarks; compares vs std::vector (and boost when available).,1347,1006,125,0.111,False,True,6,7,False,0,,,,,0.0,0.0,"In file included from /mnt/data/fatp_py/fat_p/FatPBenchmarkUtils.h:16,",,,,internal-only,No urgent functional changes. For more trustworthy perf results: (1) ensure CPU 'stability detection' thresholds are enforced consistently with reporting (log shows a >=60% criterion but a later 'stable at 55%' message); (2) document/standardize env-var overrides for warmup/measured/seed/cooling; (3) add a CI perf-smoke mode (fixed governor / pinned cores) to catch regressions without overfitting.,P2
tests/test_AdaptiveIterator.cpp,test_cpp,AdaptiveIterator,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,669,425,81,0.16,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_AsyncOperations.cpp,test_cpp,AsyncOperations,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,160,119,4,0.033,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_CacheUtilities.cpp,test_cpp,CacheUtilities,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,714,431,104,0.194,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_CircularBuffer.cpp,test_cpp,CircularBuffer,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,659,517,12,0.023,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_ConcurrencyPolicies.cpp,test_cpp,ConcurrencyPolicies,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,1355,1043,73,0.065,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_DiagnosticLogger_Core.cpp,test_cpp,DiagnosticLogger_Core,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,1310,966,28,0.028,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_DiagnosticLogger_IO.cpp,test_cpp,DiagnosticLogger_IO,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,905,723,0,0.0,False,False,0,0,True,0,,,,,,0.0,"In file included from /mnt/data/fatp_py/fat_p/DiagnosticLogger_IO.h:23,",0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_DiagnosticLogger_Json.cpp,test_cpp,DiagnosticLogger_Json,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,601,423,40,0.086,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_DiagnosticLogger_ScopeGuard.cpp,test_cpp,DiagnosticLogger_ScopeGuard,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,529,331,94,0.221,False,False,0,0,True,0,,,,,,0.0,"In file included from /mnt/data/fatp_py/fat_p/DiagnosticLogger_IO.h:23,",0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_Enforce.cpp,test_cpp,Enforce,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,1814,1282,200,0.135,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_EnhancedBoundsChecking.cpp,test_cpp,EnhancedBoundsChecking,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,360,252,51,0.168,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_EnumPlus.cpp,test_cpp,EnumPlus,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,969,785,12,0.015,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_Expected.cpp,test_cpp,Expected,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,851,660,15,0.022,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_FatPTest.cpp,test_cpp,FatPTest,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,854,669,20,0.029,False,False,2,2,False,0,,,,,,0.0,/mnt/data/fatp_py/tests/test_FatPTest.cpp: In lambda function:,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_FatPTypeTraits.cpp,test_cpp,FatPTypeTraits,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,1050,873,7,0.008,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_HpcVector.cpp,test_cpp,HpcVector,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent).,552,371,72,0.163,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P2
tests/test_IntrusiveList.cpp,test_cpp,IntrusiveList,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,404,286,14,0.047,False,False,0,0,True,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_LockFreeQueue.cpp,test_cpp,LockFreeQueue,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,245,166,22,0.117,False,False,0,0,False,0,,,,,,0.0,In file included from /mnt/data/fatp_py/tests/test_LockFreeQueue.cpp:11:,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_LockFreeRingBuffer.cpp,test_cpp,LockFreeRingBuffer,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,202,140,9,0.06,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_MemoryMappedFile.cpp,test_cpp,MemoryMappedFile,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,278,200,12,0.057,False,False,1,1,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_ObjectPool.cpp,test_cpp,ObjectPool,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,732,467,80,0.146,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
tests/test_PipeOperator.cpp,test_cpp,PipeOperator,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner).,251,175,11,0.059,False,False,0,0,False,0,,,,,,0.0,,0.0,,,internal-only,Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P2
